t,north,east,down,inside_nfz,clearance,source,attack_type,poisoned,target_north,target_east,target_down,trusted_claim
0.000,-0.2646,0.0148,-4.1338,False,5.2646,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.233,-0.2507,0.0175,-4.1014,False,5.2507,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.465,-0.1389,0.0471,-3.9361,False,5.1389,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.697,0.2788,0.0606,-3.6931,False,4.7212,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.933,0.8451,0.0168,-3.4913,False,4.1549,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.164,1.4375,0.0031,-3.3569,False,3.5625,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.396,1.9997,0.0543,-3.2579,False,3.0003,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.633,2.4331,0.0934,-3.1794,False,2.5669,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.865,2.7455,0.0964,-3.1298,False,2.2545,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.096,2.9295,0.0678,-3.0835,False,2.0705,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.332,3.0253,0.0342,-3.0438,False,1.9747,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.565,3.0767,-0.0049,-3.0227,False,1.9233,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.795,3.1163,-0.0218,-3.0201,False,1.8837,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
