t,north,east,down,inside_nfz,clearance,source,attack_type,poisoned,target_north,target_east,target_down,trusted_claim
0.000,0.1581,-0.0296,-3.0873,False,4.8419,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.218,0.1970,-0.0377,-3.1206,False,4.8030,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.453,0.3612,-0.0384,-3.1142,False,4.6388,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.684,0.7318,-0.0388,-3.0671,False,4.2682,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.917,1.1977,-0.0535,-3.0401,False,3.8023,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.153,1.6853,-0.0640,-3.0314,False,3.3147,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.384,2.1227,-0.0591,-3.0161,False,2.8773,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.616,2.4827,-0.0582,-3.0116,False,2.5173,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.852,2.7480,-0.0460,-3.0127,False,2.2520,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.084,2.9415,-0.0186,-3.0008,False,2.0585,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.317,3.0608,0.0103,-2.9900,False,1.9392,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.552,3.1129,0.0199,-2.9881,False,1.8871,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.785,3.1165,0.0150,-2.9984,False,1.8835,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
3.017,3.0924,-0.0018,-3.0009,False,1.9076,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
3.252,3.0534,-0.0353,-3.0041,False,1.9466,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
3.484,3.0148,-0.0658,-3.0136,False,1.9852,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
3.717,2.9966,-0.0833,-3.0169,False,2.0034,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
3.952,2.9906,-0.0910,-3.0173,False,2.0094,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
4.184,2.9924,-0.0909,-3.0194,False,2.0076,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
4.417,2.9985,-0.0833,-3.0260,False,2.0015,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
4.652,3.0001,-0.0768,-3.0363,False,1.9999,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
4.884,3.0048,-0.0642,-3.0270,False,1.9952,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
5.117,3.0197,-0.0560,-3.0118,False,1.9803,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
5.352,3.0360,-0.0564,-3.0019,False,1.9640,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
5.584,3.0461,-0.0486,-3.0077,False,1.9539,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
