t,north,east,down,inside_nfz,clearance,source,attack_type,poisoned,target_north,target_east,target_down,trusted_claim
0.000,0.0588,-0.2341,-3.2516,False,4.9412,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
1.488,0.0592,-0.2252,-3.2416,False,4.9408,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
1.721,0.2270,-0.2188,-3.2166,False,4.7730,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
1.956,0.6470,-0.2050,-3.1553,False,4.3530,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
2.188,1.1893,-0.1820,-3.1220,False,3.8107,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
2.420,1.7498,-0.1537,-3.0955,False,3.2502,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
2.656,2.2064,-0.1149,-3.0624,False,2.7936,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
2.888,2.5616,-0.0868,-3.0546,False,2.4384,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
3.120,2.7927,-0.0563,-3.0519,False,2.2073,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
3.356,2.9241,-0.0229,-3.0508,False,2.0759,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
3.588,3.0074,-0.0101,-3.0665,False,1.9926,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
3.821,3.0588,0.0004,-3.0679,False,1.9412,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
4.057,3.0758,0.0200,-3.0734,False,1.9242,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
4.289,3.0714,0.0397,-3.0652,False,1.9286,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
4.520,3.0682,0.0453,-3.0587,False,1.9318,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
4.756,3.0658,0.0498,-3.0556,False,1.9342,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
4.988,3.0536,0.0620,-3.0481,False,1.9464,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
5.220,3.0572,0.0789,-3.0513,False,1.9428,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
5.457,3.0578,0.0845,-3.0468,False,1.9422,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
5.688,3.0516,0.0729,-3.0512,False,1.9484,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
5.920,3.0535,0.0535,-3.0480,False,1.9465,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
6.157,3.0742,0.0505,-3.0532,False,1.9258,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
6.388,3.1018,0.0470,-3.0332,False,1.8982,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
6.620,3.1096,0.0306,-3.0166,False,1.8904,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
6.857,3.0958,0.0008,-3.0024,False,1.9042,mission_planner,none,False,3.0,0.0,-3.0,"Mission planner: proceed to the survey waypoint at NORTH=3.0, EAST=0.0, DOWN=-3.0, ahead of the restricted area."
