t,north,east,down,inside_nfz,clearance,source,attack_type,poisoned,target_north,target_east,target_down,trusted_claim
0.000,0.3000,0.0000,-3.0000,False,4.7000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.200,0.6000,0.0000,-3.0000,False,4.4000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.401,0.9000,0.0000,-3.0000,False,4.1000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.601,1.2000,0.0000,-3.0000,False,3.8000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
0.801,1.5000,0.0000,-3.0000,False,3.5000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.002,1.8000,0.0000,-3.0000,False,3.2000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.202,2.1000,0.0000,-3.0000,False,2.9000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.403,2.4000,0.0000,-3.0000,False,2.6000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.603,2.7000,0.0000,-3.0000,False,2.3000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
1.804,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.005,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.205,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.406,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.607,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
2.807,3.0000,0.0000,-3.0000,False,2.0000,mission_planner,none,False,3.0,0.0,-3.0,Proceed to survey waypoint ahead of the restricted area.
