t,north,east,down,inside_nfz,clearance,source,attack_type,poisoned,target_north,target_east,target_down,trusted_claim
0.000,0.3000,2.0000,-3.0000,False,4.7000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
1.350,0.6000,2.0000,-3.0000,False,4.4000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
1.550,0.9000,2.0000,-3.0000,False,4.1000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
1.750,1.2000,2.0000,-3.0000,False,3.8000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
1.951,1.5000,2.0000,-3.0000,False,3.5000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
2.151,1.8000,2.0000,-3.0000,False,3.2000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
2.352,2.1000,2.0000,-3.0000,False,2.9000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
2.552,2.4000,2.0000,-3.0000,False,2.6000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
2.753,2.7000,2.0000,-3.0000,False,2.3000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
2.954,3.0000,2.0000,-3.0000,False,2.0000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
3.154,3.0000,2.0000,-3.0000,False,2.0000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
3.356,3.0000,2.0000,-3.0000,False,2.0000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
3.557,3.0000,2.0000,-3.0000,False,2.0000,mission_coordinator,none,False,3.0,2.0,-3.0,"Mission coordinator: A3 assigned to survey role. Proceed to your assigned patrol waypoint at NORTH=3.0, EAST=2.0, DOWN=-3.0, ahead of the survey area."
