trial,folder,raw_path
1,08_llm_stealth_drift_through_nfz__20260704_051309__t01,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051309__t01
2,08_llm_stealth_drift_through_nfz__20260704_051337__t02,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051337__t02
3,08_llm_stealth_drift_through_nfz__20260704_051405__t03,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051405__t03
4,08_llm_stealth_drift_through_nfz__20260704_051433__t04,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051433__t04
5,08_llm_stealth_drift_through_nfz__20260704_051501__t05,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051501__t05
6,08_llm_stealth_drift_through_nfz__20260704_051529__t06,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051529__t06
7,08_llm_stealth_drift_through_nfz__20260704_051557__t07,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051557__t07
8,08_llm_stealth_drift_through_nfz__20260704_051625__t08,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051625__t08
9,08_llm_stealth_drift_through_nfz__20260704_051653__t09,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051653__t09
10,08_llm_stealth_drift_through_nfz__20260704_051721__t10,runs/sim/llm_eval_final/08_llm_stealth_drift_through_nfz__20260704_051721__t10
