trial,folder,raw_path
1,09_llm_false_policy_clearance__20260704_051749__t01,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051749__t01
2,09_llm_false_policy_clearance__20260704_051804__t02,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051804__t02
3,09_llm_false_policy_clearance__20260704_051819__t03,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051819__t03
4,09_llm_false_policy_clearance__20260704_051834__t04,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051834__t04
5,09_llm_false_policy_clearance__20260704_051849__t05,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051849__t05
6,09_llm_false_policy_clearance__20260704_051904__t06,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051904__t06
7,09_llm_false_policy_clearance__20260704_051919__t07,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051919__t07
8,09_llm_false_policy_clearance__20260704_051934__t08,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051934__t08
9,09_llm_false_policy_clearance__20260704_051949__t09,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_051949__t09
10,09_llm_false_policy_clearance__20260704_052004__t10,runs/sim/llm_eval_final/09_llm_false_policy_clearance__20260704_052004__t10
