trial,folder,raw_path
1,10_llm_fake_observation_lure__20260704_052019__t01,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052019__t01
2,10_llm_fake_observation_lure__20260704_052039__t02,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052039__t02
3,10_llm_fake_observation_lure__20260704_052058__t03,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052058__t03
4,10_llm_fake_observation_lure__20260704_052117__t04,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052117__t04
5,10_llm_fake_observation_lure__20260704_052137__t05,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052137__t05
6,10_llm_fake_observation_lure__20260704_052156__t06,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052156__t06
7,10_llm_fake_observation_lure__20260704_052215__t07,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052215__t07
8,10_llm_fake_observation_lure__20260704_052234__t08,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052234__t08
9,10_llm_fake_observation_lure__20260704_052254__t09,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052254__t09
10,10_llm_fake_observation_lure__20260704_052313__t10,runs/sim/llm_eval_final/10_llm_fake_observation_lure__20260704_052313__t10
