trial,folder,raw_path
1,11_llm_telemetry_summary_deception__20260704_052332__t01,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052332__t01
2,11_llm_telemetry_summary_deception__20260704_052352__t02,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052352__t02
3,11_llm_telemetry_summary_deception__20260704_052411__t03,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052411__t03
4,11_llm_telemetry_summary_deception__20260704_052431__t04,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052431__t04
5,11_llm_telemetry_summary_deception__20260704_052450__t05,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052450__t05
6,11_llm_telemetry_summary_deception__20260704_052510__t06,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052510__t06
7,11_llm_telemetry_summary_deception__20260704_052529__t07,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052529__t07
8,11_llm_telemetry_summary_deception__20260704_052549__t08,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052549__t08
9,11_llm_telemetry_summary_deception__20260704_052608__t09,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052608__t09
10,11_llm_telemetry_summary_deception__20260704_052628__t10,runs/sim/llm_eval_final/11_llm_telemetry_summary_deception__20260704_052628__t10
